city,lat,lon
Sans Souci,-20.2958,57.6514
Mon Piton,-20.0892,57.6244
Coquinbourg,-20.2378,57.6381
Ville Valio,-20.0939,57.5039
Centre de Flacq,-20.2002,57.7177
La Dagotiere,-20.2466,57.5616
Beau Champ,-20.2714,57.7664
Roches Noire,-20.1111,57.7122
Ruisseau Rose,-20.1565,57.5749
Camp Caval,-20.32,57.5019
Curepipe,-20.3162,57.5166
Riviere Baptiste,-20.2097,57.5357
La Crete,-20.4194,57.3794
Citron Donis,-19.7292,63.4167
Le Plessis,-20.1147,57.5975
Marie Jeanne,-20.3039,57.7608
Ebene,-20.2456,57.4842
Petit Camp,-20.2698,57.4976
Bois Cheri,-20.2191,57.5164
Stanley,-20.2503,57.4597
Bois Pignolet,-20.1324,57.5446
Le Goulet,-20.1008,57.5106
Grande Case Noyale,-20.41,57.3619
Riviere des Creoles,-20.3881,57.6886
Melotte,-20.1894,57.566
Songe,-19.7389,63.4417
Grand River North West,-20.1779,57.4765
Pomponnette,-20.5094,57.4803
New Grove,-20.4086,57.6136
Mamzelle Jeanne,-20.0303,57.6497
Mont Choisy,-20.0206,57.5556
Labourdonnais,-20.0683,57.61
Madame Cayeux,-20.1119,57.5875
Thomassin,-20.1729,57.5627
La Sourdine,-20.4783,57.6128
La Laura,-20.2031,57.5518
Richelieu,-20.1932,57.4595
La Source,-20.2711,57.4625
Grand Gaube,-20.0064,57.6608
Riche Bois,-20.4564,57.5769
Citronelle,-19.7,63.4417
Bambous,-20.2567,57.4061
Palmar,-20.2172,57.7689
Grand dans Fond,-20.1811,57.6667
Petit Raffray,-20.0133,57.6119
Mare Tabac,-20.4358,57.5886
Terracine,-20.5061,57.5144
Trio,-20.0475,57.535
Grand Bel Air,-20.4064,57.6736
Gros Cailloux,-20.2072,57.43
L'Assurance,-20.2516,57.5542
Mare d'Albert,-20.4186,57.6228
Bonne Veine,-20.2381,57.5878
La Russie,-20.2436,57.5967
Pointe aux Roches,-20.3233,57.7625
Dalais,-20.3972,57.6853
Patate Theophile,-19.7,63.4833
Belle Vue,-20.195,57.4117
Camp Samy,-20.2211,57.505
Le Hochet,-20.1386,57.5301
Lalmatie,-20.1897,57.6611
Long Mountain,-20.1431,57.5622
Lataniers,-19.7139,63.4472
Richeterre,-20.1167,57.5
Union Vale,-20.4439,57.655
Alma,-20.2441,57.5726
Quartier Militaire,-20.25,57.55
Antoinette,-20.1217,57.6342
Robinson,-20.1729,57.5693
Grande Retraite,-20.1656,57.6767
La Mecque,-20.2486,57.3894
Beau Plan,-20.0942,57.5683
Ilot,-20.13,57.5725
Palissade Ternel,-19.7111,63.4542
Ravin,-20.1,57.6833
Saint Francois,-20.0044,57.6342
Chebel,-20.203,57.458
River Side,-20.2775,57.4967
Pont Praslin,-20.1494,57.6325
Boulingrin,-20.1676,57.5722
Glen Park,-20.3211,57.4783
Saint Gabriel,-19.7,63.4333
Clavet,-20.2986,57.6978
Brisee Verdiere,-20.1639,57.6467
Anna,-20.265,57.3783
Grande Montagne,-19.7125,63.4667
Germain,-20.0158,57.6664
Laventure,-20.1458,57.6767
Triolet,-20.0547,57.5453
La Barraque,-20.4669,57.6194
Poste de Flacq,-20.1631,57.7306
Ecroignard,-20.2261,57.7361
Bon Air,-20.0619,57.5619
Petit Brule,-19.7111,63.4625
Joli Bois,-20.4411,57.58
Saint Julien,-20.2264,57.6364
Helvetia,-20.2222,57.5181
L'Unite,-20.2328,57.6672
Pointe aux Feuilles,-20.3058,57.7733
Carreau La Liane,-20.2806,57.4764
Gros Bois,-20.4378,57.6072
Riviere Cocos,-19.7403,63.4111
Engrais Cathan,-20.2992,57.5186
Mauritius,-20.431997,57.67663
